bathrooms,bedrooms,city,country,homeStatus,homeType,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isZillowOwned,latitude,longitude,livingArea,price,zestimate,rentZestimate,streetAddress,zipcode
4.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.628555,-78.60788,2348.0,474000.0,461700.0,2185.0,5505 Simmons Dr,27529
3.0,3.0,Garner,USA,FOR_SALE,TOWNHOUSE,False,True,False,True,False,35.657776,-78.597244,1910.0,361900.0,356500.0,2074.0,"Blayre Plan, Magnolia Park Townes",27529
4.0,5.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,35.65503,-78.5988,3185.0,503900.0,503900.0,2700.0,"Voyageur Plan, Magnolia Park",27529
3.0,5.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.697536,-78.60061,2627.0,433000.0,420500.0,2394.0,118 Dabney Ridge Pl,27529
4.0,4.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,35.6377,-78.53748,3578.0,468000.0,465500.0,2855.0,"Webster Plan, Cornwallis Landing",27529
2.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.57241,-78.54916,1946.0,414999.0,406400.0,1939.0,41 Lars Ln,27529
4.0,4.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.6774,-78.61485,2745.0,525000.0,511900.0,2617.0,799 Hadrian Dr,27529
2.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.590805,-78.56923,1509.0,325000.0,316300.0,1845.0,2309 Southfort Dr,27529
4.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.906273,-78.79267,3686.0,1030000.0,1029400.0,4080.0,9128 Fawn Hill Ct,27617
2.0,2.0,Raleigh,USA,FOR_SALE,CONDO,False,True,False,False,False,35.837208,-78.71741,926.0,225000.0,239600.0,2070.0,4631 Timbermill Ct APT 303,27612
3.0,3.0,Raleigh,USA,FOR_SALE,TOWNHOUSE,False,True,False,True,False,35.73778,-78.63572,1445.0,306990.0,302800.0,1834.0,"Plan 1445 Plan, Liberty Station",27610
4.0,4.0,Raleigh,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.914307,-78.73026,2444.0,579990.0,579990.0,2450.0,7806 Sofiana Ave,27617
6.0,6.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.80914,-78.66353,6613.0,2095000.0,2105300.0,8645.0,2512 Lewiswood Ln,27608
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.627743,-78.67875,1356.0,315000.0,315000.0,1800.0,2808 Buckboard Ln,27603
3.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.88685,-78.549805,1839.0,400000.0,400100.0,1994.0,5509 Keowee Way,27616
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.893284,-78.60234,1681.0,415000.0,415000.0,1681.0,8321 Bellingham Cir,27615
2.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.878338,-78.705956,1723.0,425000.0,427900.0,2045.0,7132 Sandringham Dr,27613
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.749077,-78.61305,2679.0,519000.0,517400.0,1895.0,2208 Sanderford Rd,27610
3.0,5.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.713943,-78.6423,2648.0,425000.0,425000.0,2648.0,4408 Parkwood Dr,27603
4.0,4.0,Raleigh,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.854515,-78.60831,2105.0,329000.0,328700.0,2709.0,1728 Quail Ridge Rd,27609
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.633286,-78.6925,1129.0,320000.0,321100.0,1994.0,5137 Shield Cir,27603
3.0,2.0,Raleigh,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.905277,-78.80714,1331.0,335000.0,333800.0,1680.0,9803 Layla Ave,27617
3.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,35.609688,-78.63337,2338.0,407990.0,406900.0,2199.0,"Plan 2338 Modeled Plan, Sauls Glen",27603
3.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.730743,-78.536194,2582.0,375000.0,375000.0,2582.0,6905 Paint Rock Ln,27610
1.0,2.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.756298,-78.56409,725.0,275000.0,275000.0,1200.0,4408 Poplar Dr,27610
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.874084,-78.68897,1732.0,450000.0,453900.0,2028.0,6905 Three Bridges Cir,27613
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.638016,-78.62695,1210.0,320000.0,320000.0,1700.0,9812 Small Pond Rd,27603
3.0,4.0,Raleigh,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.78921,-78.621284,2604.0,950000.0,944300.0,4061.0,715 1/2 Van Buren Rd,27604
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.787525,-78.611115,1542.0,390000.0,392200.0,1927.0,2119 Tudor Pl,27610
2.0,1.0,Raleigh,USA,FOR_SALE,CONDO,False,True,False,False,False,35.92163,-78.79821,1038.0,225000.0,230500.0,1500.0,2501 Huntscroft Ln,27617
3.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.897102,-78.58851,1536.0,350000.0,403200.0,2234.0,3104 Jekyll Cir,27615
3.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.6092,-78.630165,2338.0,437103.0,437103.0,2338.0,456 Thorny Branch Dr,27603
3.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.605408,-78.63044,2723.0,488475.0,488475.0,2723.0,504 Thorny Branch Dr,27603
4.0,4.0,Raleigh,USA,FOR_SALE,CONDO,False,True,False,False,False,35.748775,-78.69579,1320.0,300000.0,288100.0,1970.0,2021 Wolftech Ln APT 102,27603
3.0,3.0,Raleigh,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.847244,-78.535965,1965.0,399900.0,398500.0,1994.0,6632 Pathfinder Way,27616
